horizon,problem_type,model,MAE,RMSE,R2,precision_high_risk,recall_high_risk,F1_high_risk,ROC_AUC,PR_AUC
24h,regression,RandomForestRegressor,11.676114885141269,17.969514476340958,0.5373684916880114,0.7800829875518672,0.4895833333333333,0.6016,,
48h,regression,RandomForestRegressor,14.630527549634785,21.56774428888416,0.3415891796430873,0.6621621621621622,0.37404580152671757,0.47804878048780486,,
3d,regression,RandomForestRegressor,17.31958404049651,24.122691116091975,0.18802686254380174,0.5477386934673367,0.2704714640198511,0.36212624584717606,,
7d,classification,ExtraTreesClassifier,,,,0.35330948121645794,0.9693251533742331,0.5178629957391019,0.7826349420181683,0.6931446381843177
14d,classification,ExtraTreesClassifier,,,,0.4651578320428827,0.9726027397260274,0.6293311845286059,0.7354648003787201,0.7299835314928956
